2.8022 	ERROR 	Support for the `sounddevice` audio backend is not available this session. Please install `psychopy-sounddevice` and restart the session to enable support.
46.1091 	EXP 	text_item: text = "“CoronaVac es producida a partir de células de bebes abortados”. \n \n Presiona 'q' para responder verdadero o 'p' para responder falso."
46.1091 	EXP 	text_item: autoDraw = True
46.9900 	DATA 	Keypress: 1
47.8071 	DATA 	Keypress: q
47.8306 	EXP 	text_item: autoDraw = False
47.8306 	EXP 	text_2: autoDraw = True
48.3376 	EXP 	text_2: autoDraw = False
48.3376 	EXP 	text_2: autoDraw = False
48.3376 	EXP 	textInput: autoDraw = True
48.3376 	EXP 	textPrompt: autoDraw = True
48.9278 	DATA 	Keypress: return
49.7776 	DATA 	Keypress: return
50.3634 	DATA 	Keypress: 1
50.4691 	DATA 	Keypress: 2
50.5023 	DATA 	Keypress: 4
50.7917 	DATA 	Keypress: 4
50.8524 	DATA 	Keypress: 2
50.8689 	DATA 	Keypress: 1
51.0955 	DATA 	Keypress: 1
51.0977 	DATA 	Keypress: 2
51.3713 	DATA 	Keypress: return
51.3756 	EXP 	textInput: autoDraw = False
51.3756 	EXP 	textPrompt: autoDraw = False
51.3756 	EXP 	text_2: autoDraw = True
51.8700 	EXP 	New trial (rep=7, index=0): None
51.8920 	EXP 	text_2: autoDraw = False
51.8920 	EXP 	text_number_a: height = 0.05
51.8920 	EXP 	text_number_a: height = 0.05
51.8920 	EXP 	text_number_a: height = 0.05
51.8920 	EXP 	text_number_a: text = 'Recuerda este número: 89235 \n \n Presiona ENTER para continuar.'
51.8920 	EXP 	text_number_a: autoDraw = True
52.8847 	DATA 	Keypress: return
52.8895 	EXP 	text_number_a: autoDraw = False
52.8895 	EXP 	text_item: height = 0.05
52.8895 	EXP 	text_item: height = 0.05
52.8895 	EXP 	text_item: height = 0.05
52.8895 	EXP 	text_item: text = "“Las vacunas han sido altamente eficaces en disminuir las tasas de contagio”. \n \n Presiona 'q' para responder verdadero o 'p' para responder falso."
52.8895 	EXP 	text_item: autoDraw = True
54.3615 	DATA 	Keypress: p
54.3840 	EXP 	text_item: autoDraw = False
54.3840 	EXP 	text_2: autoDraw = True
54.8861 	EXP 	text_2: autoDraw = False
54.8861 	EXP 	text_2: autoDraw = False
54.8861 	EXP 	textInput: autoDraw = True
54.8861 	EXP 	textPrompt: autoDraw = True
55.8029 	DATA 	Keypress: return
56.2629 	DATA 	Keypress: 1
56.5253 	DATA 	Keypress: 4
56.7823 	DATA 	Keypress: 4
57.3365 	DATA 	Keypress: 4
57.6852 	DATA 	Keypress: 4
58.1262 	DATA 	Keypress: 4
58.4974 	DATA 	Keypress: return
58.5023 	EXP 	textInput: autoDraw = False
58.5023 	EXP 	textPrompt: autoDraw = False
58.5023 	EXP 	text_2: autoDraw = True
58.9923 	EXP 	New trial (rep=8, index=0): None
59.0056 	EXP 	text_2: autoDraw = False
59.0056 	EXP 	text_2: autoDraw = False
59.0056 	EXP 	text_number_a: height = 0.05
59.0056 	EXP 	text_number_a: height = 0.05
59.0056 	EXP 	text_number_a: height = 0.05
59.0056 	EXP 	text_number_a: text = 'Recuerda este número: 18627 \n \n Presiona ENTER para continuar.'
59.0056 	EXP 	text_number_a: autoDraw = True
59.8706 	DATA 	Keypress: return
59.8750 	EXP 	text_number_a: autoDraw = False
59.8750 	EXP 	text_item: height = 0.05
59.8750 	EXP 	text_item: height = 0.05
59.8750 	EXP 	text_item: height = 0.05
59.8750 	EXP 	text_item: text = "“El SARS-CoV-2 produce en algunos casos infección respiratoria aguda grave”. \n \n Presiona 'q' para responder verdadero o 'p' para responder falso."
59.8750 	EXP 	text_item: autoDraw = True
61.1542 	DATA 	Keypress: q
61.1592 	EXP 	text_item: autoDraw = False
61.1592 	EXP 	text_2: autoDraw = True
61.6598 	EXP 	text_2: autoDraw = False
61.6598 	EXP 	textInput: autoDraw = True
61.6598 	EXP 	textPrompt: autoDraw = True
62.4380 	DATA 	Keypress: 3
63.0649 	DATA 	Keypress: 1
63.2936 	DATA 	Keypress: 3
63.3281 	DATA 	Keypress: 2
63.3757 	DATA 	Keypress: 1
63.5124 	DATA 	Keypress: 3
63.7051 	DATA 	Keypress: 1
63.7328 	DATA 	Keypress: 2
63.9478 	DATA 	Keypress: return
63.9521 	EXP 	textInput: autoDraw = False
63.9521 	EXP 	textPrompt: autoDraw = False
63.9521 	EXP 	text_2: autoDraw = True
64.4442 	EXP 	New trial (rep=9, index=0): None
64.4635 	EXP 	text_2: autoDraw = False
64.4635 	EXP 	text_2: autoDraw = False
64.4635 	EXP 	text_number_a: height = 0.05
64.4635 	EXP 	text_number_a: height = 0.05
64.4635 	EXP 	text_number_a: height = 0.05
64.4635 	EXP 	text_number_a: text = 'Recuerda este número: 28697 \n \n Presiona ENTER para continuar.'
64.4635 	EXP 	text_number_a: autoDraw = True
65.5703 	DATA 	Keypress: return
65.5751 	EXP 	text_number_a: autoDraw = False
65.5751 	EXP 	text_item: height = 0.05
65.5751 	EXP 	text_item: height = 0.05
65.5751 	EXP 	text_item: height = 0.05
65.5751 	EXP 	text_item: text = "“El uso de mascarillas ha sido clave en la prevención de la infección”. \n \n Presiona 'q' para responder verdadero o 'p' para responder falso."
65.5751 	EXP 	text_item: autoDraw = True
66.7361 	DATA 	Keypress: q
66.7567 	EXP 	text_item: autoDraw = False
66.7567 	EXP 	text_2: autoDraw = True
67.2631 	EXP 	text_2: autoDraw = False
67.2631 	EXP 	text_2: autoDraw = False
67.2631 	EXP 	textInput: autoDraw = True
67.2631 	EXP 	textPrompt: autoDraw = True
69.1189 	DATA 	Keypress: 1
69.3213 	DATA 	Keypress: 3
69.3472 	DATA 	Keypress: 2
69.5617 	DATA 	Keypress: 1
69.7085 	DATA 	Keypress: 3
69.9148 	DATA 	Keypress: 1
69.9617 	DATA 	Keypress: 3
69.9792 	DATA 	Keypress: 2
70.0826 	DATA 	Keypress: 3
70.1417 	DATA 	Keypress: 1
70.1573 	DATA 	Keypress: 2
70.3381 	DATA 	Keypress: return
70.3423 	EXP 	textInput: autoDraw = False
70.3423 	EXP 	textPrompt: autoDraw = False
70.3423 	EXP 	text_2: autoDraw = True
70.8369 	EXP 	New trial (rep=10, index=0): None
70.8590 	EXP 	text_2: autoDraw = False
70.8590 	EXP 	text_number_a: height = 0.05
70.8590 	EXP 	text_number_a: height = 0.05
70.8590 	EXP 	text_number_a: height = 0.05
70.8590 	EXP 	text_number_a: text = 'Recuerda este número: 58643 \n \n Presiona ENTER para continuar.'
70.8590 	EXP 	text_number_a: autoDraw = True
71.7989 	DATA 	Keypress: return
71.8040 	EXP 	text_number_a: autoDraw = False
71.8040 	EXP 	text_item: height = 0.05
71.8040 	EXP 	text_item: height = 0.05
71.8040 	EXP 	text_item: height = 0.05
71.8040 	EXP 	text_item: text = "“Los hisopos del test PCR están esterilizados con un poderoso cancerígeno”. \n \n Presiona 'q' para responder verdadero o 'p' para responder falso."
71.8040 	EXP 	text_item: autoDraw = True
72.9271 	DATA 	Keypress: q
72.9496 	EXP 	text_item: autoDraw = False
72.9496 	EXP 	text_2: autoDraw = True
73.4512 	EXP 	text_2: autoDraw = False
73.4512 	EXP 	text_2: autoDraw = False
73.4512 	EXP 	textInput: autoDraw = True
73.4512 	EXP 	textPrompt: autoDraw = True
73.7831 	DATA 	Keypress: 1
73.8036 	DATA 	Keypress: 2
74.0859 	DATA 	Keypress: 2
74.1026 	DATA 	Keypress: 3
74.2721 	DATA 	Keypress: 3
74.2909 	DATA 	Keypress: 1
74.4363 	DATA 	Keypress: 1
74.5814 	DATA 	Keypress: 2
74.5977 	DATA 	Keypress: 1
74.6132 	DATA 	Keypress: 3
74.9113 	DATA 	Keypress: return
74.9331 	EXP 	textInput: autoDraw = False
74.9331 	EXP 	textPrompt: autoDraw = False
74.9331 	EXP 	text_2: autoDraw = True
75.4251 	EXP 	New trial (rep=11, index=0): None
75.4477 	EXP 	text_2: autoDraw = False
75.4477 	EXP 	text_2: autoDraw = False
75.4477 	EXP 	text_number_a: height = 0.05
75.4477 	EXP 	text_number_a: height = 0.05
75.4477 	EXP 	text_number_a: height = 0.05
75.4477 	EXP 	text_number_a: text = 'Recuerda este número: 73691 \n \n Presiona ENTER para continuar.'
75.4477 	EXP 	text_number_a: autoDraw = True
76.0850 	DATA 	Keypress: return
76.0898 	EXP 	text_number_a: autoDraw = False
76.0898 	EXP 	text_item: height = 0.05
76.0898 	EXP 	text_item: height = 0.05
76.0898 	EXP 	text_item: height = 0.05
76.0898 	EXP 	text_item: text = "“El plan para la pandemia está diseñado desde 2017 en el Banco Mundial”. \n \n Presiona 'q' para responder verdadero o 'p' para responder falso."
76.0898 	EXP 	text_item: autoDraw = True
76.9312 	DATA 	Keypress: q
76.9362 	EXP 	text_item: autoDraw = False
76.9362 	EXP 	text_2: autoDraw = True
77.4365 	EXP 	text_2: autoDraw = False
77.4365 	EXP 	text_2: autoDraw = False
77.4365 	EXP 	textInput: autoDraw = True
77.4365 	EXP 	textPrompt: autoDraw = True
77.7449 	DATA 	Keypress: 1
77.8409 	DATA 	Keypress: 2
77.9195 	DATA 	Keypress: 3
78.1067 	DATA 	Keypress: 1
78.1262 	DATA 	Keypress: 2
78.2526 	DATA 	Keypress: 3
78.2983 	DATA 	Keypress: 1
78.3138 	DATA 	Keypress: 2
78.4668 	DATA 	Keypress: 1
78.5368 	DATA 	Keypress: 3
78.6951 	DATA 	Keypress: return
78.6996 	EXP 	textInput: autoDraw = False
78.6996 	EXP 	textPrompt: autoDraw = False
78.6996 	EXP 	text_2: autoDraw = True
79.1915 	EXP 	New trial (rep=12, index=0): None
79.2136 	EXP 	text_2: autoDraw = False
79.2136 	EXP 	text_2: autoDraw = False
79.2136 	EXP 	text_number_a: height = 0.05
79.2136 	EXP 	text_number_a: height = 0.05
79.2136 	EXP 	text_number_a: height = 0.05
79.2136 	EXP 	text_number_a: text = 'Recuerda este número: 48215 \n \n Presiona ENTER para continuar.'
79.2136 	EXP 	text_number_a: autoDraw = True
79.9739 	DATA 	Keypress: return
79.9787 	EXP 	text_number_a: autoDraw = False
79.9787 	EXP 	text_item: height = 0.05
79.9787 	EXP 	text_item: height = 0.05
79.9787 	EXP 	text_item: height = 0.05
79.9787 	EXP 	text_item: text = "“El dióxido de cloro sirve para tratar a pacientes con COVID-19 positivo”. \n \n Presiona 'q' para responder verdadero o 'p' para responder falso."
79.9787 	EXP 	text_item: autoDraw = True
80.7029 	DATA 	Keypress: 1
81.3064 	DATA 	Keypress: return
82.2687 	DATA 	Keypress: q
82.2736 	EXP 	text_item: autoDraw = False
82.2736 	EXP 	text_2: autoDraw = True
82.7765 	EXP 	text_2: autoDraw = False
82.7765 	EXP 	textInput: autoDraw = True
82.7765 	EXP 	textPrompt: autoDraw = True
83.4167 	DATA 	Keypress: 1
83.5653 	DATA 	Keypress: 2
83.8490 	DATA 	Keypress: 3
83.9156 	DATA 	Keypress: 1
84.1070 	DATA 	Keypress: 2
84.1092 	DATA 	Keypress: 3
84.2803 	DATA 	Keypress: 3
84.3237 	DATA 	Keypress: 2
84.3383 	DATA 	Keypress: 1
84.7565 	DATA 	Keypress: return
84.7609 	EXP 	textInput: autoDraw = False
84.7609 	EXP 	textPrompt: autoDraw = False
84.7609 	EXP 	text_2: autoDraw = True
85.2480 	EXP 	New trial (rep=13, index=0): None
85.2608 	EXP 	text_2: autoDraw = False
85.2608 	EXP 	text_2: autoDraw = False
85.2608 	EXP 	text_number_a: height = 0.05
85.2608 	EXP 	text_number_a: height = 0.05
85.2608 	EXP 	text_number_a: height = 0.05
85.2608 	EXP 	text_number_a: text = 'Recuerda este número: 65247 \n \n Presiona ENTER para continuar.'
85.2608 	EXP 	text_number_a: autoDraw = True
85.9316 	DATA 	Keypress: return
85.9635 	EXP 	text_number_a: autoDraw = False
85.9635 	EXP 	text_item: height = 0.05
85.9635 	EXP 	text_item: height = 0.05
85.9635 	EXP 	text_item: height = 0.05
85.9635 	EXP 	text_item: text = "“La vacuna contra el COVID-19 genera atracción magnética”. \n \n Presiona 'q' para responder verdadero o 'p' para responder falso."
85.9635 	EXP 	text_item: autoDraw = True
86.7308 	DATA 	Keypress: 1
87.9195 	DATA 	Keypress: q
87.9243 	EXP 	text_item: autoDraw = False
87.9243 	EXP 	text_2: autoDraw = True
88.4235 	EXP 	text_2: autoDraw = False
88.4235 	EXP 	text_2: autoDraw = False
88.4235 	EXP 	textInput: autoDraw = True
88.4235 	EXP 	textPrompt: autoDraw = True
88.7505 	DATA 	Keypress: 1
88.8551 	DATA 	Keypress: 2
88.9035 	DATA 	Keypress: 3
89.1225 	DATA 	Keypress: 3
89.1437 	DATA 	Keypress: 2
89.3051 	DATA 	Keypress: 3
89.3206 	DATA 	Keypress: 1
89.3648 	DATA 	Keypress: 2
89.6810 	DATA 	Keypress: return
89.6996 	EXP 	textInput: autoDraw = False
89.6996 	EXP 	textPrompt: autoDraw = False
89.6996 	EXP 	text_2: autoDraw = True
90.1940 	EXP 	New trial (rep=14, index=0): None
90.2135 	EXP 	text_2: autoDraw = False
90.2135 	EXP 	text_2: autoDraw = False
90.2135 	EXP 	text_number_a: height = 0.05
90.2135 	EXP 	text_number_a: height = 0.05
90.2135 	EXP 	text_number_a: height = 0.05
90.2135 	EXP 	text_number_a: text = 'Recuerda este número: 52186 \n \n Presiona ENTER para continuar.'
90.2135 	EXP 	text_number_a: autoDraw = True
93.0626 	DATA 	Keypress: return
93.0674 	EXP 	text_number_a: autoDraw = False
93.0674 	EXP 	text_item: height = 0.05
93.0674 	EXP 	text_item: height = 0.05
93.0674 	EXP 	text_item: height = 0.05
93.0674 	EXP 	text_item: text = "“El COVID-19 es una enfermedad que puede afectar distintos órganos”. \n \n Presiona 'q' para responder verdadero o 'p' para responder falso."
93.0674 	EXP 	text_item: autoDraw = True
93.6831 	DATA 	Keypress: 1
94.9694 	DATA 	Keypress: q
94.9909 	EXP 	text_item: autoDraw = False
94.9909 	EXP 	text_2: autoDraw = True
95.0975 	DATA 	Keypress: q
95.4891 	EXP 	text_2: autoDraw = False
95.4891 	EXP 	text_2: autoDraw = False
95.4891 	EXP 	textInput: autoDraw = True
95.4891 	EXP 	textPrompt: autoDraw = True
95.6409 	DATA 	Keypress: 1
95.8100 	DATA 	Keypress: 2
96.0027 	DATA 	Keypress: 3
96.1861 	DATA 	Keypress: 1
96.2369 	DATA 	Keypress: 2
96.2699 	DATA 	Keypress: 4
96.4865 	DATA 	Keypress: 4
96.5032 	DATA 	Keypress: 1
96.5326 	DATA 	Keypress: 2
96.7129 	DATA 	Keypress: return
96.7174 	EXP 	textInput: autoDraw = False
96.7174 	EXP 	textPrompt: autoDraw = False
96.7174 	EXP 	text_2: autoDraw = True
97.2109 	EXP 	New trial (rep=15, index=0): None
97.2307 	EXP 	text_2: autoDraw = False
97.2307 	EXP 	text_2: autoDraw = False
97.2307 	EXP 	text_number_a: height = 0.05
97.2307 	EXP 	text_number_a: height = 0.05
97.2307 	EXP 	text_number_a: height = 0.05
97.2307 	EXP 	text_number_a: text = 'Recuerda este número: 95823 \n \n Presiona ENTER para continuar.'
97.2307 	EXP 	text_number_a: autoDraw = True
97.8189 	DATA 	Keypress: return
97.8571 	EXP 	text_number_a: autoDraw = False
97.8571 	EXP 	text_item: height = 0.05
97.8571 	EXP 	text_item: height = 0.05
97.8571 	EXP 	text_item: height = 0.05
97.8571 	EXP 	text_item: text = "“El aislamiento es una medida que permite reducir la cantidad de contagios”. \n \n Presiona 'q' para responder verdadero o 'p' para responder falso."
97.8571 	EXP 	text_item: autoDraw = True
98.6335 	DATA 	Keypress: 1
100.0482 	DATA 	Keypress: q
100.0532 	EXP 	text_item: autoDraw = False
100.0532 	EXP 	text_2: autoDraw = True
100.5557 	EXP 	text_2: autoDraw = False
100.5557 	EXP 	text_2: autoDraw = False
100.5557 	EXP 	textInput: autoDraw = True
100.5557 	EXP 	textPrompt: autoDraw = True
101.3161 	DATA 	Keypress: 1
101.3508 	DATA 	Keypress: 3
101.4954 	DATA 	Keypress: 2
101.5278 	DATA 	Keypress: 3
101.7339 	DATA 	Keypress: 2
101.7527 	DATA 	Keypress: 1
101.7670 	DATA 	Keypress: 3
101.9276 	DATA 	Keypress: 1
101.9425 	DATA 	Keypress: 2
101.9576 	DATA 	Keypress: 3
102.1934 	DATA 	Keypress: return
102.2138 	EXP 	textInput: autoDraw = False
102.2138 	EXP 	textPrompt: autoDraw = False
102.2138 	EXP 	text_2: autoDraw = True
102.7092 	EXP 	Created sequence: sequential, trialTypes=1, nReps=0, seed=None
102.7097 	EXP 	Created sequence: sequential, trialTypes=1, nReps=0, seed=None
102.7102 	EXP 	New trial (rep=0, index=1): {'nRepsTask1': 0, 'nRepsTask2': 1, 'nRepsTask3': 0}
102.7109 	EXP 	Created sequence: sequential, trialTypes=1, nReps=0, seed=None
102.7119 	EXP 	Created sequence: sequential, trialTypes=1, nReps=1, seed=None
102.7123 	EXP 	New trial (rep=0, index=0): None
102.7237 	EXP 	text_2: autoDraw = False
102.7237 	EXP 	text_2: autoDraw = False
102.7237 	EXP 	rest_text: autoDraw = True
104.0126 	EXP 	Created sequence: sequential, trialTypes=1, nReps=0, seed=None
104.0131 	EXP 	New trial (rep=0, index=2): {'nRepsTask1': 0, 'nRepsTask2': 0, 'nRepsTask3': 16}
104.0138 	EXP 	Created sequence: sequential, trialTypes=1, nReps=0, seed=None
104.0143 	EXP 	Created sequence: sequential, trialTypes=1, nReps=0, seed=None
104.0147 	EXP 	Created sequence: sequential, trialTypes=1, nReps=16, seed=None
104.0150 	EXP 	New trial (rep=0, index=0): None
104.0333 	DATA 	Keypress: space
104.0383 	EXP 	rest_text: autoDraw = False
104.0383 	EXP 	text_number_b: height = 0.05
104.0383 	EXP 	text_number_b: height = 0.05
104.0383 	EXP 	text_number_b: height = 0.05
104.0383 	EXP 	text_number_b: text = 'Recuerda este número: 42359 \n \n Presiona ENTER para continuar.'
104.0383 	EXP 	text_number_b: autoDraw = True
105.0983 	DATA 	Keypress: return
105.1031 	EXP 	text_number_b: autoDraw = False
105.1031 	EXP 	textInput: autoDraw = True
105.1031 	EXP 	textPrompt: autoDraw = True
106.5391 	DATA 	Keypress: 2
106.5608 	DATA 	Keypress: 3
106.7533 	DATA 	Keypress: 4
106.8632 	DATA 	Keypress: 1
106.8808 	DATA 	Keypress: 4
107.0812 	DATA 	Keypress: 1
107.0832 	DATA 	Keypress: 3
107.3397 	DATA 	Keypress: return
107.3533 	EXP 	textInput: autoDraw = False
107.3533 	EXP 	textPrompt: autoDraw = False
107.3533 	EXP 	text_2: autoDraw = True
107.8654 	EXP 	text_2: autoDraw = False
107.8654 	EXP 	text_2: autoDraw = False
107.8654 	EXP 	text_item: height = 0.05
107.8654 	EXP 	text_item: height = 0.05
107.8654 	EXP 	text_item: height = 0.05
107.8654 	EXP 	text_item: text = "“El Coronavirus se transmite por las ondas electromagnéticas 5G”. \n \n Presiona 'q' para responder verdadero o 'p' para responder falso."
107.8654 	EXP 	text_item: autoDraw = True
109.1515 	DATA 	Keypress: q
109.1564 	EXP 	text_item: autoDraw = False
109.1564 	EXP 	text_2: autoDraw = True
109.6481 	EXP 	New trial (rep=1, index=0): None
109.6688 	EXP 	text_2: autoDraw = False
109.6688 	EXP 	text_number_b: height = 0.05
109.6688 	EXP 	text_number_b: height = 0.05
109.6688 	EXP 	text_number_b: height = 0.05
109.6688 	EXP 	text_number_b: text = 'Recuerda este número: 96478 \n \n Presiona ENTER para continuar.'
109.6688 	EXP 	text_number_b: autoDraw = True
110.3244 	DATA 	Keypress: return
110.3293 	EXP 	text_number_b: autoDraw = False
110.3293 	EXP 	textInput: autoDraw = True
110.3293 	EXP 	textPrompt: autoDraw = True
112.5373 	DATA 	Keypress: return
112.8706 	DATA 	Keypress: 1
113.0768 	DATA 	Keypress: 4
113.2767 	DATA 	Keypress: 1
113.3121 	DATA 	Keypress: 2
113.4911 	DATA 	Keypress: 4
113.5231 	DATA 	Keypress: 2
113.5386 	DATA 	Keypress: 1
113.6968 	DATA 	Keypress: 4
113.7121 	DATA 	Keypress: 1
113.7138 	DATA 	Keypress: 2
113.9985 	DATA 	Keypress: return
114.0178 	EXP 	textInput: autoDraw = False
114.0178 	EXP 	textPrompt: autoDraw = False
114.0178 	EXP 	text_2: autoDraw = True
114.5350 	EXP 	text_2: autoDraw = False
114.5350 	EXP 	text_2: autoDraw = False
114.5350 	EXP 	text_item: height = 0.05
114.5350 	EXP 	text_item: height = 0.05
114.5350 	EXP 	text_item: height = 0.05
114.5350 	EXP 	text_item: text = "“La edad  es uno de los factores de riesgo principales ante el COVID-19”. \n \n Presiona 'q' para responder verdadero o 'p' para responder falso."
114.5350 	EXP 	text_item: autoDraw = True
115.2726 	DATA 	Keypress: q
115.2775 	EXP 	text_item: autoDraw = False
115.2775 	EXP 	text_2: autoDraw = True
115.7689 	EXP 	New trial (rep=2, index=0): None
115.7905 	EXP 	text_2: autoDraw = False
115.7905 	EXP 	text_2: autoDraw = False
115.7905 	EXP 	text_number_b: height = 0.05
115.7905 	EXP 	text_number_b: height = 0.05
115.7905 	EXP 	text_number_b: height = 0.05
115.7905 	EXP 	text_number_b: text = 'Recuerda este número: 76481 \n \n Presiona ENTER para continuar.'
115.7905 	EXP 	text_number_b: autoDraw = True
116.6499 	DATA 	Keypress: return
116.6546 	EXP 	text_number_b: autoDraw = False
116.6546 	EXP 	textInput: autoDraw = True
116.6546 	EXP 	textPrompt: autoDraw = True
117.0436 	DATA 	Keypress: 1
117.1874 	DATA 	Keypress: 4
117.2757 	DATA 	Keypress: 1
117.3625 	DATA 	Keypress: 2
117.5107 	DATA 	Keypress: 4
117.5279 	DATA 	Keypress: 2
117.7305 	DATA 	Keypress: 4
117.7325 	DATA 	Keypress: 1
117.7639 	DATA 	Keypress: 2
118.0424 	DATA 	Keypress: return
118.0467 	EXP 	textInput: autoDraw = False
118.0467 	EXP 	textPrompt: autoDraw = False
118.0467 	EXP 	text_2: autoDraw = True
118.5616 	EXP 	text_2: autoDraw = False
118.5616 	EXP 	text_2: autoDraw = False
118.5616 	EXP 	text_item: height = 0.05
118.5616 	EXP 	text_item: height = 0.05
118.5616 	EXP 	text_item: height = 0.05
118.5616 	EXP 	text_item: text = "“Las personas asintomáticas no contagian el COVID-19”. \n \n Presiona 'q' para responder verdadero o 'p' para responder falso."
118.5616 	EXP 	text_item: autoDraw = True
119.1200 	DATA 	Keypress: q
119.1424 	EXP 	text_item: autoDraw = False
119.1424 	EXP 	text_2: autoDraw = True
119.6339 	EXP 	New trial (rep=3, index=0): None
119.6514 	EXP 	text_2: autoDraw = False
119.6514 	EXP 	text_2: autoDraw = False
119.6514 	EXP 	text_number_b: height = 0.05
119.6514 	EXP 	text_number_b: height = 0.05
119.6514 	EXP 	text_number_b: height = 0.05
119.6514 	EXP 	text_number_b: text = 'Recuerda este número: 74869 \n \n Presiona ENTER para continuar.'
119.6514 	EXP 	text_number_b: autoDraw = True
120.7109 	DATA 	Keypress: 1
120.7833 	DATA 	Keypress: 4
120.7865 	DATA 	Keypress: 2
120.9823 	DATA 	Keypress: 4
120.9981 	DATA 	Keypress: 2
121.2749 	DATA 	Keypress: return
121.2795 	EXP 	text_number_b: autoDraw = False
121.2795 	EXP 	textInput: autoDraw = True
121.2795 	EXP 	textPrompt: autoDraw = True
121.6344 	DATA 	Keypress: 1
121.9081 	DATA 	Keypress: 1
121.9259 	DATA 	Keypress: 2
121.9575 	DATA 	Keypress: 4
122.1152 	DATA 	Keypress: 4
122.3466 	DATA 	Keypress: 1
122.3701 	DATA 	Keypress: 2
122.6834 	DATA 	Keypress: 2
122.7156 	DATA 	Keypress: 1
122.9151 	DATA 	Keypress: 4
122.9315 	DATA 	Keypress: 2
123.1370 	DATA 	Keypress: return
123.1566 	EXP 	textInput: autoDraw = False
123.1566 	EXP 	textPrompt: autoDraw = False
123.1566 	EXP 	text_2: autoDraw = True
123.6772 	EXP 	text_2: autoDraw = False
123.6772 	EXP 	text_2: autoDraw = False
123.6772 	EXP 	text_item: height = 0.05
123.6772 	EXP 	text_item: height = 0.05
123.6772 	EXP 	text_item: height = 0.05
123.6772 	EXP 	text_item: text = "“La patente para testear el COVID-19 se registró en el año 2015”. \n \n Presiona 'q' para responder verdadero o 'p' para responder falso."
123.6772 	EXP 	text_item: autoDraw = True
125.0211 	DATA 	Keypress: q
125.0258 	EXP 	text_item: autoDraw = False
125.0258 	EXP 	text_2: autoDraw = True
125.5152 	EXP 	New trial (rep=4, index=0): None
125.5368 	EXP 	text_2: autoDraw = False
125.5368 	EXP 	text_number_b: height = 0.05
125.5368 	EXP 	text_number_b: height = 0.05
125.5368 	EXP 	text_number_b: height = 0.05
125.5368 	EXP 	text_number_b: text = 'Recuerda este número: 15479 \n \n Presiona ENTER para continuar.'
125.5368 	EXP 	text_number_b: autoDraw = True
126.8824 	DATA 	Keypress: return
126.8871 	EXP 	text_number_b: autoDraw = False
126.8871 	EXP 	textInput: autoDraw = True
126.8871 	EXP 	textPrompt: autoDraw = True
127.7482 	DATA 	Keypress: 4
127.7510 	DATA 	Keypress: 2
128.0303 	DATA 	Keypress: 3
128.2479 	DATA 	Keypress: 2
128.4494 	DATA 	Keypress: 4
128.4832 	DATA 	Keypress: 3
128.4983 	DATA 	Keypress: 2
128.7761 	DATA 	Keypress: 4
128.7930 	DATA 	Keypress: 3
129.0125 	DATA 	Keypress: 5
129.0306 	DATA 	Keypress: 4
129.0470 	DATA 	Keypress: 3
129.2091 	DATA 	Keypress: 6
129.2245 	DATA 	Keypress: 4
129.5556 	DATA 	Keypress: return
129.5783 	EXP 	textInput: autoDraw = False
129.5783 	EXP 	textPrompt: autoDraw = False
129.5783 	EXP 	text_2: autoDraw = True
130.0974 	EXP 	text_2: autoDraw = False
130.0974 	EXP 	text_item: height = 0.05
130.0974 	EXP 	text_item: height = 0.05
130.0974 	EXP 	text_item: height = 0.05
130.0974 	EXP 	text_item: text = "“Las vacunas autorizadas contra el COVID-19 contienen grafeno”. \n \n Presiona 'q' para responder verdadero o 'p' para responder falso."
130.0974 	EXP 	text_item: autoDraw = True
131.2007 	DATA 	Keypress: q
131.2056 	EXP 	text_item: autoDraw = False
131.2056 	EXP 	text_2: autoDraw = True
131.6974 	EXP 	New trial (rep=5, index=0): None
131.7182 	EXP 	text_2: autoDraw = False
131.7182 	EXP 	text_number_b: height = 0.05
131.7182 	EXP 	text_number_b: height = 0.05
131.7182 	EXP 	text_number_b: height = 0.05
131.7182 	EXP 	text_number_b: text = 'Recuerda este número: 89634 \n \n Presiona ENTER para continuar.'
131.7182 	EXP 	text_number_b: autoDraw = True
132.4681 	DATA 	Keypress: return
132.4728 	EXP 	text_number_b: autoDraw = False
132.4728 	EXP 	textInput: autoDraw = True
132.4728 	EXP 	textPrompt: autoDraw = True
133.3459 	DATA 	Keypress: 4
133.3485 	DATA 	Keypress: 3
133.3688 	DATA 	Keypress: 5
133.5644 	DATA 	Keypress: 3
133.6383 	DATA 	Keypress: 6
134.0519 	DATA 	Keypress: 3
134.0546 	DATA 	Keypress: 4
134.1915 	DATA 	Keypress: 6
134.2369 	DATA 	Keypress: 3
134.6047 	DATA 	Keypress: return
134.6088 	EXP 	textInput: autoDraw = False
134.6088 	EXP 	textPrompt: autoDraw = False
134.6088 	EXP 	text_2: autoDraw = True
135.1305 	EXP 	text_2: autoDraw = False
135.1305 	EXP 	text_item: height = 0.05
135.1305 	EXP 	text_item: height = 0.05
135.1305 	EXP 	text_item: height = 0.05
135.1305 	EXP 	text_item: text = "“Los síntomas de COVID-19 pueden persistir meses después de la infección inicial”. \n \n Presiona 'q' para responder verdadero o 'p' para responder falso."
135.1305 	EXP 	text_item: autoDraw = True
136.3888 	DATA 	Keypress: q
